id,author_id,parent_id,step,week_number,step_number,timestamp,likes
8745348,c5d43ed0-2009-4d16-b69d-348d89f0b58a,8743335,1.1,1,1,2015-11-09 04:41:37 UTC,6
8745359,aadcd9be-2e09-44f1-9740-52c8164a40e6,,1.7,1,7,2015-11-09 04:42:17 UTC,21
8745366,63d93412-97f0-488c-96f8-4d95696ebf62,8744045,1.3,1,3,2015-11-09 04:43:00 UTC,0
8745428,aadcd9be-2e09-44f1-9740-52c8164a40e6,,1.8,1,8,2015-11-09 04:49:14 UTC,9
8745597,63d93412-97f0-488c-96f8-4d95696ebf62,,1.4,1,4,2015-11-09 05:06:32 UTC,1
8745744,b7c2d5da-9e7e-4235-a4ce-6019365aa569,,1.2,1,2,2015-11-09 05:21:56 UTC,9
8745814,b7c2d5da-9e7e-4235-a4ce-6019365aa569,,1.3,1,3,2015-11-09 05:28:44 UTC,3
8745938,0f6cbc5a-9113-4335-8c89-b79d6900c23c,,1.1,1,1,2015-11-09 05:41:02 UTC,7
8745948,ecb72fa5-db56-4c52-93f7-ad942508caf5,,1.4,1,4,2015-11-09 05:42:09 UTC,4
8745949,b7c2d5da-9e7e-4235-a4ce-6019365aa569,,1.5,1,5,2015-11-09 05:42:11 UTC,12
8745958,d7e31d27-b039-403c-9567-d220dc5fc34d,,1.3,1,3,2015-11-09 05:43:51 UTC,2
8745959,b4793645-327b-47cb-9d2d-3210fbd58d5e,,1.2,1,2,2015-11-09 05:43:52 UTC,15
8746063,63d93412-97f0-488c-96f8-4d95696ebf62,,1.5,1,5,2015-11-09 05:52:16 UTC,2
8746077,b7c2d5da-9e7e-4235-a4ce-6019365aa569,,1.6,1,6,2015-11-09 05:54:23 UTC,2
8746095,2457527b-c917-4e7a-97fa-f3443ac0afed,8743085,1.3,1,3,2015-11-09 05:55:49 UTC,0
8746138,ecb72fa5-db56-4c52-93f7-ad942508caf5,,1.6,1,6,2015-11-09 05:59:20 UTC,4
8746139,7c29badf-e35e-46d3-b5c6-a73d4dd7c468,8745959,1.2,1,2,2015-11-09 05:59:23 UTC,1
8746183,7c29badf-e35e-46d3-b5c6-a73d4dd7c468,,1.3,1,3,2015-11-09 06:02:24 UTC,3
8746360,aadcd9be-2e09-44f1-9740-52c8164a40e6,,1.11,1,11,2015-11-09 06:18:41 UTC,4
8746477,b7c2d5da-9e7e-4235-a4ce-6019365aa569,,1.6,1,6,2015-11-09 06:29:24 UTC,1
8746504,ecb72fa5-db56-4c52-93f7-ad942508caf5,,1.5,1,5,2015-11-09 06:31:31 UTC,3
8746533,7c29badf-e35e-46d3-b5c6-a73d4dd7c468,,1.4,1,4,2015-11-09 06:34:10 UTC,2
8746615,b7c2d5da-9e7e-4235-a4ce-6019365aa569,,1.7,1,7,2015-11-09 06:42:35 UTC,0
8746624,ecb72fa5-db56-4c52-93f7-ad942508caf5,,1.7,1,7,2015-11-09 06:43:19 UTC,0
8746631,af6f0e20-2e43-4693-b658-6fb15a7d0953,8743380,1.5,1,5,2015-11-09 06:44:17 UTC,12
8746701,ecb72fa5-db56-4c52-93f7-ad942508caf5,,1.8,1,8,2015-11-09 06:50:40 UTC,1
8746803,a8f2f06f-c482-4fc4-b470-15a1b86436ac,,1.1,1,1,2015-11-09 06:59:15 UTC,0
8746818,9fd19e8a-f5ec-49e9-a3df-ff69fff21c85,,1.2,1,2,2015-11-09 07:00:08 UTC,4
8746850,ecb72fa5-db56-4c52-93f7-ad942508caf5,,1.9,1,9,2015-11-09 07:02:04 UTC,0
8746919,7c29badf-e35e-46d3-b5c6-a73d4dd7c468,8746504,1.5,1,5,2015-11-09 07:07:26 UTC,2
8747093,66c501b7-25a3-4e25-b5ca-108b90b25b9a,8743970,1.2,1,2,2015-11-09 07:20:38 UTC,1
8747238,66c501b7-25a3-4e25-b5ca-108b90b25b9a,8744239,1.3,1,3,2015-11-09 07:30:47 UTC,0
8747350,33a0fdf0-4523-47eb-9f85-83604fc06a9c,,1.2,1,2,2015-11-09 07:37:30 UTC,3
8747441,ecb72fa5-db56-4c52-93f7-ad942508caf5,,1.1,1,10,2015-11-09 07:42:08 UTC,4
8747564,0344d7b3-82b5-4fd2-8395-4feed1bce092,8745938,1.1,1,1,2015-11-09 07:47:54 UTC,1
8747568,ecb72fa5-db56-4c52-93f7-ad942508caf5,,1.12,1,12,2015-11-09 07:48:09 UTC,6
